For Fig2-a in the paper we have used the following parameters:

	/S		/P		/loweK		/K		/R 

        1	,	5	,	0	,	1	,	100	,
        1	,	5	,	0	,	2	,	100	,
        1	,	5	,	0	,	3	,	100	,
        1	,	5	,	0	,	4	,	100	,
        1	,	6	,	0	,	1	,	102	,
        1	,	6	,	0	,	2	,	102	,
        1	,	6	,	0	,	3	,	102	,
        1	,	6	,	0	,	4	,	102	,
        2	,	5	,	0	,	1	,	100	,
        2	,	5	,	0	,	2	,	100	,
        2	,	5	,	0	,	3	,	100	,
        2	,	5	,	0	,	4	,	100	,
        2	,	6	,	0	,	1	,	102	,
        2	,	6	,	0	,	2	,	102	,
        2	,	6	,	0	,	3	,	102	,
        2	,	6	,	0	,	4	,	102	,
        3	,	5	,	0	,	1	,	100	,
        3	,	5	,	0	,	2	,	100	,
        3	,	5	,	0	,	3	,	100	,
        3	,	5	,	0	,	4	,	100	,
        3	,	6	,	0	,	1	,	102	,
        3	,	6	,	0	,	2	,	102	,
        3	,	6	,	0	,	3	,	102	,
        3	,	6	,	0	,	4	,	102	,
        4	,	5	,	0	,	1	,	100	,
        4	,	5	,	0	,	2	,	100	,
        4	,	5	,	0	,	3	,	100	,
        4	,	5	,	0	,	4	,	100	,
        4	,	6	,	0	,	1	,	102	,
        4	,	6	,	0	,	2	,	102	,
        4	,	6	,	0	,	3	,	102	,
        4	,	6	,	0	,	4	,	102	,
        5	,	5	,	0	,	1	,	100	,
        5	,	5	,	0	,	2	,	100	,
        5	,	5	,	0	,	3	,	100	,
        5	,	5	,	0	,	4	,	100	,
        5	,	6	,	0	,	1	,	102	,
        5	,	6	,	0	,	2	,	102	,
        5	,	6	,	0	,	3	,	102	,
        5	,	6	,	0	,	4	,	102	,


For Fig2-b in the paper we have used the following parameters:

	/S		/P		/loweK		/K		/R 	

        3	,	3	,	0	,	1	,	36	,
        3	,	3	,	0	,	2	,	36	,
        3	,	3	,	0	,	3	,	36	,
        3	,	3	,	0	,	4	,	36	,
        3	,	3	,	0	,	1	,	48	,
        3	,	3	,	0	,	2	,	48	,
        3	,	3	,	0	,	3	,	48	,
        3	,	3	,	0	,	4	,	48	,
        3	,	3	,	0	,	1	,	75	,
        3	,	3	,	0	,	2	,	75	,
        3	,	3	,	0	,	3	,	75	,
        3	,	3	,	0	,	4	,	75	,
        3	,	3	,	0	,	1	,	102	,
        3	,	3	,	0	,	2	,	102	,
        3	,	3	,	0	,	3	,	102	,
        3	,	3	,	0	,	4	,	102	,
	

For Table 2 in the paper we have used the following parameters:

	/S		/P		/loweK		/K		/R 	

        5	,	2	,	0	,	1	,	100	,
        5	,	3	,	0	,	1	,	102	,
        5	,	4	,	0	,	1	,	100	,
        5	,	3	,	0	,	2	,	102	,
        5	,	4	,	0	,	2	,	100	,
        5	,	5	,	0	,	2	,	100	,
        3	,	4	,	0	,	3	,	100	,
        3	,	5	,	0	,	3	,	100	,
        3	,	6	,	0	,	3	,	102	,
        3	,	5	,	0	,	4	,	100	,
        3	,	6	,	0	,	4	,	102	,
        3	,	7	,	0	,	4	,	98	,	






